ID,Sports,Interview Text,Speaker,Type,Labels
551,Hockey,"I don't think I'll be able to describe what it's going to be like.  I know from what I've seen, I've been very, very impressed.  We're excited to get back home and show what this town's about.",RYAN O'REILLY,Team,5
552,Baseball,Certainly know who they are. This is certainly about our young core. Those two guys are part of it. They're probably the next wave of players coming.,SCOTT SERVAIS,Team,2
553,Tennis," Well, as far as I am concerned importance of the tournament and the kind of the player I beat today, yes.",KAREL NOVACEK,Individual,4
554,Lacrosse,"Yeah, it was a lot different this year.  We had the experience.  We knew what the crowd was going to be like.  We actually practiced with crowd noise on our last practice at home.",JAMES BASSETT,Team,1
555,Baseball,"I'm glad he told you that. I talked to him today, he says he feels real good. He's going to go. And he's going to pitch. And we'll see how far he can take us.",DAVE MARTINEZ,Team,2
556,Baseball,"We're counting on Cano. He's another guy that had a bad year last year. Knowing him, knowing his preparation, I have no doubt he'll show up at Spring Training ready to go.",CARLOS BELTRAN,Team,2
557,Tennis," He was out today and hopefully get a chance to see him in the next couple of days, I wanted to go last night, but -- obviously I had a match.",JIM COURIER,Individual,4
558,Golf,"I think I might have been in 2000.  I think I was the oldest guy.  Nick Price was there, and I think I have him by maybe four or five months in age.",LOREN ROBERTS,Individual,7
559,Baseball,"Like I said, I just don't -- I don't want to make this about one play. It was a big play. I just don't want to make it about one play.",DAVE MARTINEZ,Team,4
560,Tennis," I didn't about that.  I just tried to play it point by point to see the next point and don't think about beyond five sets, four sets, beat Jim Courier just --",CEDRIC PIOLINE,Individual,4
561,Football,"  I don't necessarily think it is an advantage.  You know, we have been involved in a Championship Game already this year.  But once you cross the white lines, it is all the same.",JOSH HEUPEL,Team,4
562,Golf,"CHRIS HIGGS:  I think the only debate about any one player's performance is she being, whoever 'she' is  Is she being measured fairly amongst all other players.",CHRIS HIGGS,Individual,2
563,Cricket,"Exactly. We play this part kind of back to back to back, so it's nice to be in the same place. A travel day does take its toll a little bit. So I'm happy we're in Sydney.",LAURA WOLVAARDT,Team,7
564,Tennis, It is enough to worry about is what is in front of me.  I don't need to worry about what everybody else is doing.,JIM COURIER,Individual,7
565,Tennis," Oh, definitely.  I mean, definitely. She beat her earlier this year in Delray Beach.  I mean, I know Gaby is going to remember that.  I mean, I definitely think that she has a great chance.",CHANDA RUBIN,Individual,2
566,Baseball,"We're pretty good, too. We're going to try to adapt to him. And I think our pitchers did a good job of mixing. We didn't stay in one area, we didn't get him out the same way twice, really.",AJ HINCH,Team,1
567,Baseball,"It's devastating. It's not something that I wish on anybody in this room. Just like I don't wish any of you to be standing up here having to answer these questions, either.",JEFF LUHNOW,Team,7
568,Baseball,I think he'll be great. He's a fun-loving guy. He's a different dude. I think he'll be great in that culture.,DON MATTINGLY,Team,7
569,Baseball,"No. They haven't reached out because of that. I've had players reach out to me this off-season, but not specifically for -- after the trade about other things.",BRANDON HYDE,Team,7
570,Baseball,"I mean, they won some two-strike counts. They battled. I mean, I feel like I've said this a few times since we've been to the postseason, our opponents have not taken a pitch off.",GERRIT COLE,Team,4
571,Golf," 3, I hit it in the rough left and then hit it in the front left bunker, just got it on to the green and 2-putted.",KAREN STUPPLES,Individual,4
